"paragraph","text"
1,"This is a summary of independent research funded by the Citrina Foundation, Department of Health, the Institute of Health Sciences at Oxford University and Macmillan Cancer Support. The views expressed are those of the authors, and not necessarily those of the funders."
2,"Here men with prostate cancer talk about how they find information about the condition. Many said that their doctors had given them plenty of information, and enough time to discuss various treatment options."
3,"And then when I saw the consultant for the first time they gave me lots of written material, on alternative treatments, a booklet from Macmillan I think, and one from prostate cancer charity, so I had that, I had a lot to take away, and they, they covered, at that stage they covered all the possible treatments- so they had watchful waiting, a leaflet on watchful waiting as well, which in the end they didn’t think was appropriate for me, and brachytherapy and radiotherapy and, having the prostate removed as well, so I had that stuff given to me at that point, which was all very useful, but when it came to me considering what treatment I wanted, I had to sort of digest that into my own form to be able to sort of help make the decision."
4,"Then I went back to see my surgeon and of course he by then had my Gleason score from the biopsy. It was a semi-formal interview, we are on friendly terms anyway and he said, ‘Well let’s look at all these results together’ and he said, ‘Well, the PSA is excellent, 7.2 and the bone scan looks splendid’ and he said, ‘Nothing to worry about in the shoulders we’ve decided. And the MRI, nothing to be seen, and it seems to be the tumour is actually confined to the gland. And he and I said, ‘That’s excellent. And he said, ‘You’re now 67 and you haven’t got any relevant history but I’d like you to have a cardiologist’s opinion but if that is alright I think we should go ahead. Now we discussed, a formal talk on you know, radiotherapy versus surgery or even watchful waiting and he said that in his view this would not be a good one for watchful waiting. And then I thought well, we’ve been through everything but what about the Gleason and I said, ‘Now what about the Gleason score?’ And he smiled and said, ‘Oh, I wasn’t really going to talk about that, don’t let’s think too much about that’ and wrote it on a bit of paper and handed it to me, you see, and it was 8 which as you know, really puts you in a very high risk group. And so I said, ‘No, perhaps you’d better not talk about that any more but don’t let it interfere with what we ought to do. It would, of course, rule out radiotherapy as the principal form of treatment."
5,"Yes, I mean I knew the options and we went through them very thoroughly but very quickly. I mean it was not a long interview but everything relevant was said. It was going over very old ground between us because we’d had similar talks about, you know, very many patients between us before."
6,"I got a folder, and I made, and I made three sheets in it for each of the treatments that I was going to consider, and, so I read through what was there and I summarised on the sheet myself, and then underneath I wrote down what was most important for me, coming out of it, so you know, you looked at what the side effects might be, there were suggestions that, you know, in terms of, how long you live, that the prostatectomy, taking the prostate out, was the better option, and you were likely to have, you know, longer survival, if that’s the option that you chose, but to me, quality of life was as important if not more so, in my decision making, than the idea of sort of living to ninety or something, and the, the surgeon who was the first consultant I saw who I liked very much, he also showed me a website, which was a sort of, a sort of decision support thing, which was from an American university, where you could put in your Gleason score and your PSA and it would actually give you information as to what the likely outcomes were for the different treatments that that there might be, and in fact, and, and he thought that that clearly indicated surgery was the best option for me, and I was very happy to look at that because I wanted to take on as much information as I could, but it seemed to me that the differences were actually quite minor you know sort of cancer free survival at five years or at ten years there were, there were maybe five percentage points or something, but it was still, you know, the brachytherapy it was never lower than sort of seventy five or eighty per cent, which to me sounded like quite good odds so, but it was quality of life aspects to me that were most important in making the decision."
7,"Sexual health, lack of urinary problems, bowel problems you had to sort of balance these things up cos theyre all subtly different between the… between the different treatments."
8,"When I was making up my mind about which treatment to go for, I actually looked at some qualitative research, sorry because I work as a librarian, you know, I know how to track this stuff down, and I was interested to read peoples experiences, so you had that on some websites, and also you had people who’d carried out research and actually in those papers you can read what people have said verbatim, you know, in their own words, and that was very powerful and quite sort of influential for me."
9,"Some men knew very little about prostate cancer before they discovered that they had the disease. They had been happy to be guided by their doctors. For older men, or in cases where the cancer had spread, the options were more limited. A few men felt that they had been well informed but would like to have received more guidance from health care professionals. Some were aware that there is little agreement about what should be done at various stages of the disease."
10,"Well he [the doctor] explained that the the modern approach I should imagine, was radiotherapy because at one time it had been radical prostatectomy and in America it is currently still radical prostatectomy. At that time I didn’t know anything about hormonal treatment, I only understood the two, it was either surgery or it was radiotherapy. Now my immediate reaction was, ‘No I don’t want radiotherapy, I want it out,’ that was my gut instinct, to get rid of the source because I suspected that radiotherapy really wasn’t going to get rid of the source. And after two consultations during which we had long debates the consultant said eventually ‘Right I’ll give you a cystoscopy which involved putting a telescope and a camera up the centre of the penis into the bladder,’ and when I came to – this was done through day surgery, again there was no discomfort at all, nothing, it was an hour, I was in and out and that was it. He said ‘Right I cannot see anything that would prevent you from doing surgery,’ so eventually he decided that surgery would be the option I would have. I still didn’t know anything at that stage about hormones."
11,"No, the watch and wait was mentioned but it certainly wasn’t an option that I wanted to have, I wanted the prostate gland out."
12,"Oh I think so, I think the consultant, when we met was excellent. Now whether we would’ve had that sort of one to one opportunity had somebody not told me that over the telephone [that he had cancer], we shall never know, but we had this one to one with the consultant who explained everything."
13,"Yes he did, yes and all the side-effects, the drawbacks, and you know, what the advantages were. So we then said ‘Well you know what’s the next step?’ and the next step was for me to then see the radiotherapy consultant or whatever he was."
14,"I think I was guided by him. He had said that the planned treatment for me was radiotherapy with perhaps a supplemented hormone treatment as well."
15,"So this is metastatic, whatever we call it, cancer. Time passes a little bit now and again and we go back to the urology department and now these options once again are out on the table but the surgery one is no longer an option and of the other two I thought I might receive the radiotherapy, personally, but you know I’m not the expert, I just thought that, but they said the hormone injection is the thing to go for at the moment, this is the way to go, not the therapy, the hormones. And before the injection of the hormones commences we have some tablets which does the same thing so for a couple of months or so I was on these tablets, I forget the name of them, leading to the commencement of the injections at the local health centre which Ive had now, I mustve had about 3 of those now, theyre every 3 months. Theres a monthly one and a 3 monthly one, I’m on the 3 monthly injections."
16,"Did they explain why you werent a suitable candidate for radiotherapy if that’s what you thought you mightve liked?"
17,"Mm they said there were side-effects from it which at this stage they didnt think it was suitable, there were nasty side-effects and they thought that the hormone treatment was the kinder way to go about it at the moment, so one accepts it, that’s it, I had to accept that. But yes I was, something at the back of my mind, engineering-wise made me think that the therapy was more of a solid and more preventative method than these injections but they, they said no to that, the hormones was the best way to go so you know I had to accept that."
18,"I wasn’t given an option, I’ll be honest with you I wasn’t given an option, they simply said that the TURP operation was necessary, ‘When we do the TURP operation we will, well have a look at what we take away and have it analysed, that being the biopsy. Yes it’s cancerous. Yes it’s aggressive and you will need radiotherapy. I wasn’t given any options, I wasn’t given the operation where they can actually… what do they call it?"
19,"That’s right, this apparently is alright in younger men but as you get older its apparently not as effective. The big problem is it can leave you incontinent, not that I was given that option, but it’s not very nice to be left incontinent."
20,"No I don’t think I could’ve handled it. It’s a bit like well I’ve got to get rid of it, no I don’t think I would, because you’d be walking, you’d be walking around thinking well it’s still there. In fact you still do now but not to that extent because you feel somebody has done something for you, well you know somebody has done something for you but no I don’t think I could’ve lived with that."
21,"Well at the initial stage of course I had no real, there were no treatment options for someone with advanced prostate cancer at that sort of stage. It is essentially, or as far as I was aware at the time, I should say it was hormone treatment or nothing. There was no operation you can do, which is you know, I think there was a complete consensus on that, as far as I’m aware, for someone whose cancer has spread beyond the prostate. I think the situation would’ve been, I know it would’ve been far, far more difficult if it hadn’t spread beyond the prostate, it would’ve also been better but the decision process would’ve been, knowing what I now know, very, very difficult and I had a friend the other day who was diagnosed with just that and I really didn’t know what to say to him."
22,"So then he said, You’ve got 3 options. You can have, we can monitor the prostate, you can have radio therapy on the prostate or you can it have it removed,’ and he said,’the decision’s yours. And I had no help whatsoever in deciding or advice what was the best for me which obviously being a lay man I was a bit concerned and he wanted to know by the Monday what the decision I was going to make."
23,"The surgeon gave me pamphlets on prostate but he, and we did discuss it but he did not give me advice on which course to take, he just told me that I, that I can go, it was my choice and the reason why they were doing this is because it was a survey over a 10 year period and people would take different courses and then they would know eventually after 10 years, well putting it mildly, which ones have survived."
24,"I was very impressed with the registrar for the oncologist who explained everything in great detail and certainly answered any questions. So as an individual I felt I had all the information he could possibly give me and he explained it all very well. I’m aware that there doesn’t seem to be any total measure of agreement in what is best in the approach to the disease and the treatments in various countries vary enormously. So I don’t know. I have discussed it with other medical friends and as far as I can see the choice that I’ve made and was being made for me seems to be as good as any in terms of current thinking. I am, I suppose, a bit disappointed that there isn’t a bit more consensus yet over what should be done at various stages and what can be done but I think, I think I’m happy with the information flow."
25,"Some men argued that they had not been given adequate information, and that health care professionals had failed to explain the treatment options. One man, who had had a radical prostatectomy, wished he had considered other possible options and side effects more carefully, and another man wished that his doctor had discussed self-help, alternative medicine and psychological aspects of care as well as physical treatments. Charities, support groups and other men who had experienced various treatments were all useful sources of advice, and some men said that they obtained far more information from these sources than from health care professionals."
26,"The information given to me then certainly indicated the seriousness of the event in as much cancer was the word mentioned, the options then described to me were the fact that the radical prostectomy which is an operation of removing the prostate was foremost really. They were alternatives such as therapies of either chemo or radiotherapy and also the fact that they were conducting some tests with various drug companies that it may be an option. But the main thing I think was, that was directed to me, that because of my age and the hopefulness of an early diagnosis the recommendation and I do say this, a recommendation was that I should go for the radical prostectomy and have the prostate removed."
27,"No, no the side effects, perhaps I’m to blame may be as much as anyone for that because I didn’t challenge that, in any event. And I think it was hard enough at that particular stage to absorb the news that you’ve been given and the possibility of major surgery. It was indicated I must admit that if I had the operation it was major surgery but the alternatives I would have said you know were, certainly not in the foreground but in the background. I’d been told about them, but I was being, I would have said directed to take the radical prostatectomy because of the reasons early diagnosis and the hopefulness of a complete cure."
28,"4 minutes oh dear that’s not very long is it. Did you get to talk to anybody else about it, like one of the nurses?"
29,"No when I seen, no it’s always the specialist, just the two of them yes, Dr X and the younger one, Dr X, and Dr X just spoke in a machine, after that he just said Alright appointments every 6 months."
30,"Yes, well why is there no talk about treatment or anything, just that injection in the belly and that’s it?"
31,"An appointment was made, but the appointment was a month later, well not a month later, but 17 days after the MRI, which seemed to me to be excessive so because of this pressing a slot appeared earlier and the urologist was able to see me earlier and action was prescribed, this hormone treatment and radio therapy. We looked at various options and these are the two that were stressed."
32,"The urologist I must say seemed peeved at my attempt to accelerate things and it did seem to me that we were following a very standard, I’m familiar with text books having spent my time in a book shop looking at them, we seemed to be following a very text book approach, repeating much of what I’d already read. And it was strongly biomedical approach as you would expect, I had had been struck again and again by the fact that our specialists seemed to be a very, very strong on the physical side of what they’re dealing with and fine that’s excellent but there is no mention of anything psychological, no mention of any alternative medicine, no mention of any other ways of treating it, no mention of anything you might be doing yourself to help which was a little surprising."
33,"And not only that but when you mention it yourself ‘Well perhaps you know if diet shifted,’ because I’ve already met people who’ve worked on diet and seemed to have done very well from it, that might be a useful supplementary approach, ‘No evidence to suggest that, there has been no evidence,’ that keeps coming up, it’s almost like a refrain and has happened continuously since then with specialists. This time he did not seem too comfortable with the questions I was asking, I was very ready for it and wanted to know specifics."
34,"They have got a retired sister who knows about this and she also drew drawings for me and she told me this is what’s that, this is what’s going to happen, but nobody else explained to me."
35,"No they have got a big room there they gave you cup of tea, sit down and then you had an appointment with the nurse, I mean the sister."
36,"She is retired, and she comes and she sat with me about an hour or so and explained whatever and they gave a lot of pamphlets after so you can read this, what food you should be eating, what should be done, all those things. I had more information from them than the doctors. And I think anybody going in for this they must go to one of these. They give you much more information than the doctors, that is my experience I don’t know about the other doctors. So they gave me this treatment, it will be for 4 weeks starting in the month of March."
37,"I was given absolutely no information whatsoever, advanced prostate cancer is what I was told, and I just went away and that’s all I knew. Because as I say, I worked for a group of doctors, I immediately, once I’d come to terms with the idea that I’d got a disease like that, I wanted to know what it was all about. Like the vast majority of men I really had no idea where my prostate gland was, what its function was, anything about it so I immediately rang Cancerbackup, asked them to send me all the information they had about it, also contacted the Prostate Cancer Charity and asked them for all the information they had about it. I spoke to people at both places, asked them the basics of what it was all about, started looking for books on the subject and generally educating myself as to what it was all about. That probably took about 2 or 3 months, at the end of which I was far more informed than I had been and started to think well may be it’s not as bad as I thought it was. I only wish somebody would have sat down with me initially and gone through all that with me."
